Date,Produit,Prix,Demande,Saison
2025-01-01,Haricot,2668,2,1
2025-01-02,Haricot,2658,2,1
2025-01-03,Haricot,2950,3,1
2025-01-04,Haricot,2725,2,1
2025-01-05,Haricot,2951,3,1
2025-01-06,Haricot,2423,1,1
2025-01-07,Haricot,2556,1,1
2025-01-08,Haricot,2563,1,1
2025-01-09,Haricot,2536,1,1
2025-01-10,Haricot,2497,1,1
2025-01-11,Haricot,2469,1,1
2025-01-12,Haricot,2857,3,1
2025-01-13,Haricot,2540,1,1
2025-01-14,Haricot,2862,3,1
2025-01-15,Haricot,2530,1,1
2025-01-16,Haricot,2464,1,1
2025-01-17,Haricot,2690,2,1
2025-01-18,Haricot,2579,1,1
2025-01-19,Haricot,2875,3,1
2025-01-20,Haricot,2493,1,1
2025-01-21,Haricot,2981,3,1
2025-01-22,Haricot,2421,1,1
2025-01-23,Haricot,2959,3,1
2025-01-24,Haricot,2883,3,1
2025-01-25,Haricot,2673,2,1
2025-01-26,Haricot,2545,1,1
2025-01-27,Haricot,2794,2,1
2025-01-28,Haricot,2559,1,1
2025-01-29,Haricot,2824,3,1
2025-01-30,Haricot,2897,3,1
2025-01-31,Haricot,2430,1,1
2025-02-01,Haricot,2850,3,1
2025-02-02,Haricot,2461,1,1
2025-02-03,Haricot,2947,3,1
2025-02-04,Haricot,2571,1,1
2025-02-05,Haricot,2845,3,1
2025-02-06,Haricot,2711,2,1
2025-02-07,Haricot,2873,3,1
2025-02-08,Haricot,2546,1,1
2025-02-09,Haricot,2518,1,1
2025-02-10,Haricot,2992,3,1
2025-02-11,Haricot,2668,2,1
2025-02-12,Haricot,2814,3,1
2025-02-13,Haricot,2577,1,1
2025-02-14,Haricot,2711,2,1
2025-02-15,Haricot,2542,1,1
2025-02-16,Haricot,2699,2,1
2025-02-17,Haricot,2499,1,1
2025-02-18,Haricot,2948,3,1
2025-02-19,Haricot,2741,2,1
2025-02-20,Haricot,2780,2,1
2025-02-21,Haricot,2494,1,1
2025-02-22,Haricot,2640,2,1
2025-02-23,Haricot,2807,3,1
2025-02-24,Haricot,2873,3,1
2025-02-25,Haricot,2600,1,1
2025-02-26,Haricot,2558,1,1
2025-02-27,Haricot,2912,3,1
2025-02-28,Haricot,2473,1,1
2025-03-01,Haricot,2533,1,1
2025-03-02,Haricot,2573,1,1
2025-03-03,Haricot,2445,1,1
2025-03-04,Haricot,2527,1,1
2025-03-05,Haricot,2560,1,1
2025-03-06,Haricot,2917,3,1
2025-03-07,Haricot,2761,2,1
2025-03-08,Haricot,2568,1,1
2025-03-09,Haricot,2840,3,1
2025-03-10,Haricot,3000,3,1
2025-03-11,Haricot,2537,1,1
2025-03-12,Haricot,2423,1,1
2025-03-13,Haricot,2563,1,1
2025-03-14,Haricot,2629,2,1
2025-03-15,Haricot,2923,3,1
2025-03-16,Haricot,2866,3,1
2025-03-17,Haricot,2469,1,1
2025-03-18,Haricot,2999,3,1
2025-03-19,Haricot,2738,2,1
2025-03-20,Haricot,2482,1,1
2025-03-21,Haricot,2548,1,1
2025-03-22,Haricot,2877,3,1
2025-03-23,Haricot,2829,3,1
2025-03-24,Haricot,2402,1,1
2025-03-25,Haricot,2939,3,1
2025-03-26,Haricot,2411,1,1
2025-03-27,Haricot,2902,3,1
2025-03-28,Haricot,2646,2,1
2025-03-29,Haricot,2721,2,1
2025-03-30,Haricot,2900,3,1
2025-03-31,Haricot,2405,1,1
2025-04-01,Haricot,2962,3,1
2025-04-02,Haricot,2855,3,1
2025-04-03,Haricot,2790,2,1
2025-04-04,Haricot,2868,3,1
2025-04-05,Haricot,2902,3,1
2025-04-06,Haricot,2592,1,1
2025-04-07,Haricot,2903,3,1
2025-04-08,Haricot,2573,1,1
2025-04-09,Haricot,2944,3,1
2025-04-10,Haricot,2594,1,1
2025-04-11,Haricot,2407,1,1
2025-04-12,Haricot,2769,2,1
2025-04-13,Haricot,2651,2,1
2025-04-14,Haricot,2800,3,1
2025-04-15,Haricot,2733,2,1
2025-04-16,Haricot,2524,1,1
2025-04-17,Haricot,2576,1,1
2025-04-18,Haricot,2530,1,1
2025-04-19,Haricot,2999,3,1
2025-04-20,Haricot,2961,3,1
2025-04-21,Haricot,2709,2,1
2025-04-22,Haricot,2631,2,1
2025-04-23,Haricot,2859,3,1
2025-04-24,Haricot,2843,3,1
2025-04-25,Haricot,2582,1,1
2025-04-26,Haricot,2941,3,1
2025-04-27,Haricot,2917,3,1
2025-04-28,Haricot,2531,1,1
2025-04-29,Haricot,2802,3,1
2025-04-30,Haricot,2647,2,1
2025-05-01,Haricot,2590,1,1
2025-05-02,Haricot,2489,1,1
2025-05-03,Haricot,2754,2,1
2025-05-04,Haricot,2468,1,1
2025-05-05,Haricot,2471,1,1
2025-05-06,Haricot,2613,2,1
2025-05-07,Haricot,2535,1,1
2025-05-08,Haricot,2573,1,1
2025-05-09,Haricot,2476,1,1
2025-05-10,Haricot,2953,3,1
2025-05-11,Haricot,2689,2,1
2025-05-12,Haricot,2835,3,1
2025-05-13,Haricot,2615,2,1
2025-05-14,Haricot,2659,2,1
2025-05-15,Haricot,2990,3,1
